Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
seurat,Rockfish,,,,,"Seurat is an R package designed for QC, analysis, and exploration of single-cell RNA-seq data. Seurat aims to enable users to identify and interpret sources of heterogeneity from single-cell transcriptomic measurements, and to integrate diverse types of single-cell data. Description Source:https://satijalab.org/seurat/",https://satijalab.org/seurat/,https://cran.r-project.org/web/packages/Seurat/Seurat.pdf,
shadow-4.7-gcc-9.3.0-2hjnrcg,KyRIC,,,,,"Shadow is a network simulation tool used for modeling, testing, and analyzing complex network infrastructures and protocols. It allows researchers and network engineers to emulate various network scenarios, evaluate performance, and study the behavior of networks under different conditions.",,,
SHAP,ACES,,,,,SHAP (SHapley Additive exPlanations) is a game theoretic approach to explain the output of any machine learning model. It connects optimal credit allocation with local explanations using the classic Shapley values from game theory and their related extensions. Description Source:https://shap.readthedocs.io/en/latest/,https://github.com/shap/shap,https://shap.readthedocs.io/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
shared,OOKAMI,,,,,,,,
Shiny,Jetstream2,,,,,Shiny is package that makes it easy to build interactive web apps straight from R & Python. Description Source:https://shiny.posit.co/,https://shiny.posit.co/,https://shiny.posit.co/getstarted.html,
siesta,"OOKAMI, Stampede-2",,,,,"SIESTA (Spanish Initiative for Electronic Simulations with Thousands of Atoms) is both a method and its computer program implementation (Fortran 95), to perform efficient electronic structure calculations and ab initio molecular dynamics simulations of molecules and solids. Description Source:https://www.simuneatomistics.com/products/siesta-code/",https://departments.icmab.es/leem/siesta/,https://departments.icmab.es/leem/siesta/Documentation/index.html, Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
silo,"Stampede-2, Rockfish",,,,,Silo is a C/Fortran API for reading and writing a wide variety of scientific data to binary files. Silo files can be easily shared and exchanged between wholly independently developed applications running on disparate computing platforms. Description Source:https://github.com/LLNL/Silo,https://software.llnl.gov/Silo/,https://silo.readthedocs.io/en/latest/,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
singularity,"Jetstream2, OOKAMI, DARWIN, Bridges-2, Rockfish",service,Container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/," DARWIN: https://docs.hpc.udel.edu/software/singularity/singularity ,  Bridges-2: https://www.psc.edu/resources/software/singularity"
singularity-3.7.2-gcc-9.3.0-gpxljgj,KyRIC,,,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/,
singularitypro,Expanse,,,,,"Singularity is a widely-adopted open source container platform that implements a unique security model to mitigate privilege escalation risks, and provides a format to capture a complete application environment into a single file. Sylabs provides licensing for SingularityPRO, enterprise level support, professional services, cloud functionality, and value-added plugins for Singularity container platform. Description Source:https://sylabs.io/singularity-pro/",https://sylabs.io/singularity-pro/,https://apptainer.org/user-docs/master/,
sionlib,KyRIC,,,,,SIONlib is a library for writing and reading binary data to/from several thousands of processors into one or a small number of physical files. For parallel access to files only the open and close functions are collective while writing and reading file can be done asynchronously. Description Source:https://apps.fz-juelich.de/jsc/sionlib/docu/index.html,"https://www.fz-juelich.de/en/ias/jsc/services/user-support/software-tools/sionlib?expand=translations,fzjsettings,nearest-institut",https://apps.fz-juelich.de/jsc/sionlib/docu/index.html,
SIRfindeR,Rockfish,,,,,SIRFindeR is an R package for detecting and quantifying Intron Retention levels using Second and Third Generation RNA-Sequencing data. Description Source:https://github.com/lbroseus/SIRFindeR,https://github.com/lbroseus/SIRFindeR,https://github.com/lbroseus/SIRFindeR/blob/master/vignettes/SIRFindeR.pdf,
slepc,"Stampede-2, ACES",,,,,"SLEPc (Scalable Library for Eigenvalue Problem Computations) is a software library for the solution of large scale sparse eigenvalue problems on parallel computers. It is an extension of PETSc and can be used for linear eigenvalue problems in either standard or generalized form, with real or complex arithmetic. Description Source:https://slepc.upv.es/",https://slepc.upv.es/,https://slepc.upv.es/documentation/,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
slurm,"Expanse, OOKAMI, Rockfish",,Scheduler,,,"Slurm is an open-source cluster resource management and job scheduling system that strives to be simple, scalable, portable, fault-tolerant, and interconnect agnostic. Slurm currently has been tested only under Linux. Description Source:https://github.com/SchedMD/slurm",https://slurm.schedmd.com/,https://slurm.schedmd.com/documentation.html,
slurm-env,Delta,,,,,"When a job scheduled by Slurm starts, it needs to know certain things about how it was scheduled, etc. E.g., what is it's working directory, or what nodes were allocated for it. Slurm passes this information to the job via environmental variables. In addition to being available to your job, these are also used by programs like mpirun to default values. This way, something like mpirun already knows how many tasks to start and on which nodes, without you needing to pass this information explicitly. Description Source:https://hpcc.umd.edu/hpcc/help/slurmenv.html",https://slurm.schedmd.com/,https://slurm.schedmd.com/sbatch.html,
snakemake,Rockfish,,,,,"The Snakemake workflow management system is a tool to create reproducible and scalable data analyses. Workflows are described via a human readable, Python based language. Description Source:https://snakemake.readthedocs.io/en/stable/",https://snakemake.github.io/,https://snakemake.readthedocs.io/en/stable/,
snappy,ACES,,,,,"Snappy is a compression/decompression library. It does not aim for maximum compression, or compatibility with any other compression library; instead, it aims for very high speeds and reasonable compression. Description Source:https://github.com/google/snappy",https://github.com/google/snappy,https://github.com/google/snappy/blob/main/docs/README.md,ACES: https://hprc.tamu.edu/software/aces/
souporcell,Rockfish,,,,,souporcell is a method for clustering mixed-genotype scRNAseq experiments by individual. Description Source:https://github.com/wheaton5/souporcell,https://github.com/wheaton5/souporcell,https://github.com/wheaton5/souporcell?tab=readme-ov-file#readme,
spack,OOKAMI,,Software repo,,,"Spack is a package manager for supercomputers, Linux, and macOS. It makes installing scientific software easy. Spack isn’t tied to a particular language; you can build a software stack in Python or R, link to libraries written in C, C++, or Fortran, and easily swap compilers or target specific microarchitectures. Description Source:https://spack.io/",https://spack.io/,https://spack.readthedocs.io/en/latest/,
spaCy,ACES,Library,,,,"spaCy is a free, open-source library for advanced Natural Language Processing (NLP) in Python. Description Source:https://spacy.io/usage/spacy-101#whats-spacy",https://spacy.io/,https://spacy.io/api/doc,ACES: https://hprc.tamu.edu/software/aces/
SPAdes,"Bridges-2, Rockfish",,,,,SPAdes is a genome assembly software that is specifically designed for single-cell and multi-cell bacterial sequencing data. It uses a combination of de Bruijn graph algorithms and error correction methods to construct accurate genome sequences.,,,Bridges-2: https://www.psc.edu/resources/software/spades
Spark,Bridges-2,,,,,"Apache Spark is an open-source, distributed computing system designed for big data processing and analytics. It provides an easy-to-use programming interface for scalable data processing, machine learning, and real-time analytics across clustered environments.",,,Bridges-2: https://www.psc.edu/resources/software/spark
spdlog,OOKAMI,,,,,"spdlog is a fast, header-only logging library for C++. It provides efficient logging capabilities with various features like thread safety, asynchronous logging, and log rotation. spdlog is designed for high-performance logging needs while maintaining simplicity and ease of use.",,,
spglib,ACES,Library,,,,"Spglib is a library for finding and handling crystal symmetries written in C. There are the python, fortran, rust, and ruby interfaces. Description Source:https://spglib.readthedocs.io/en/stable/",https://github.com/spglib/spglib,https://spglib.readthedocs.io/,ACES: https://hprc.tamu.edu/software/aces/
spglib-python,ACES,,,,,Spglib-Python is a package of Python bindings for Spglib. Description Source:https://pypi.org/project/spglib/,https://pypi.org/project/spglib/,https://spglib.readthedocs.io/en/stable/python-interface.html,ACES: https://hprc.tamu.edu/software/aces/
spython,ACES,,,,,Singularity Python is a Python API to work with the Singularity open source software. Description Source:https://singularityhub.github.io/singularity-cli/,https://github.com/singularityhub/singularity-cli,https://singularityhub.github.io/singularity-cli/api/source/spython.main.html,ACES: https://hprc.tamu.edu/software/aces/
sqlite,"Anvil, ACES, Rockfish",,,,,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine. Description Source:https://www.sqlite.org/",https://www.sqlite.org/,https://www.sqlite.org/docs.html,"Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/sqlite ,  ACES: https://hprc.tamu.edu/software/aces/"
sqlite-3.34.0-gcc-9.3.0-k5dhzbj,KyRIC,,,,,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine. Description Source:https://www.sqlite.org/",,,
squashfs-4.4-gcc-9.3.0-kfis3v6,KyRIC,,,,,"SquashFS is a compressed read-only filesystem with built-in compression providing space-efficient storage. It is commonly used in embedded systems, live CDs, and Linux distributions to compress filesystem images and reduce storage space requirements while maintaining efficient access to files.",,,
SRA toolkit,Bridges-2,,Bioinformatics,Sciences,Biology,,,,Bridges-2: https://www.psc.edu/resources/software/sra toolkit
SRA-Toolkit,ACES,,Bioinformatics,Sciences,Biology,The SRA Toolkit and SDK from NCBI is a collection of tools and libraries for using data in the INSDC Sequence Read Archives. Description Source:https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools/wiki,ACES: https://hprc.tamu.edu/software/aces/
sra-tools,Rockfish,,Bioinformatics,Sciences,Biology,,,,
sratoolkit,"Expanse, Stampede-2",,Bioinformatics,Sciences,Biology,,,, Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
STAR,Rockfish,,Bioinformatics,Sciences,Biology,"STAR (Spliced Transcripts Alignment to a Reference) is a fast and highly accurate RNA sequencing read mapper. It aligns RNA-Seq reads to a reference genome or transcriptome, enabling comprehensive analysis of gene expression and alternative splicing.",,,
STAR Aligner,Bridges-2,,Bioinformatics,Sciences,Biology,"STARAligner, commonly referred to as STAR, is a fast and accurate RNA-Seq read alignment software tool. It efficiently maps RNA sequencing reads to a reference genome, enabling detailed analysis of gene expression and splicing patterns.",,,Bridges-2: https://www.psc.edu/resources/software/star aligner
STAR-Fusion,Bridges-2,,Bioinformatics,Sciences,Biology,"STAR-Fusion is a software tool that identifies fusion genes from RNA sequencing data. It integrates the efficient read aligner STAR with comprehensive fusion detection algorithms, providing accurate identification of gene fusions in transcriptomic analysis.",,,Bridges-2: https://www.psc.edu/resources/software/star-fusion
statsmodels,ACES,,,,,"statsmodels is a Python module that provides classes and functions for the estimation of many different statistical models, as well as for conducting statistical tests, and statistical data exploration. An extensive list of result statistics are available for each estimator. The results are tested against existing statistical packages to ensure that they are correct. Description Source:https://www.statsmodels.org/stable/index.html",https://github.com/statsmodels/statsmodels/,https://www.statsmodels.org/stable/user-guide.html,ACES: https://hprc.tamu.edu/software/aces/
subversion,"Expanse, Anvil, ACES, Delta, Rockfish",,,,,Subversion is an open source version control system. Description Source:https://subversion.apache.org/,https://subversion.apache.org/,https://subversion.apache.org/docs/," Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/subversion ,  ACES: https://hprc.tamu.edu/software/aces/"
suitesparse,"Stampede-2, ACES",,,,,"SuiteSparse is a suite of sparse matrix software libraries developed primarily by Tim Davis. It includes a collection of libraries and tools for solving sparse linear systems, eigenvalue problems, and various matrix computations. SuiteSparse is commonly used in scientific computing and engineering applications.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
sundials,"Stampede-2, ACES, Rockfish",,,,,"SUNDIALS (SUite of Nonlinear and DIfferential/ALgebraic equation Solvers) is a software suite of robust numerical solvers for ordinary differential equations (ODEs) and differential-algebraic equations (DAEs). It consists of various packages like CVODE, IDA, and ARKODE, offering efficient solutions for time-dependent simulations and mathematical modeling.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
superlu,Stampede-2,,Scientific Library,,,"SuperLU is a high-performance library for solving large, sparse linear systems of equations using direct methods. It provides efficient implementations of direct solvers for various classes of sparse matrices, making it valuable for scientific simulations, engineering applications, and numerical computations.",,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
SuperLU_DIST,ACES,Library,Scientific Library,,,"SuperLU is a general purpose library for the direct solution of large, sparse, nonsymmetric systems of linear equations on high performance machines. It supports both real and complex datatypes, both single and double precision, and 64-bit integer indexing. Description Source:https://portal.nersc.gov/project/sparse/superlu/superlu_code_html/index.html",https://portal.nersc.gov/project/sparse/superlu/,https://portal.nersc.gov/project/sparse/superlu/superlu_code_html/index.html,ACES: https://hprc.tamu.edu/software/aces/
superlu_seq,Stampede-2,,Scientific Library,,,,,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
superlu-dist,Rockfish,,Scientific Library,,,,,,
swig,"Stampede-2, Anvil, ACES, Rockfish",Toolkit,,,,SWIG (Simplified Wrapper and Interface Generator) is a software development tool for building scripting language interfaces to C and C++ programs. SWIG simplifies development by largely automating the task of scripting language integration--allowing developers and users to focus on more important problems. Description Source:https://www.swig.org/Doc4.2/SWIGDocumentation.html,https://www.swig.org/,https://www.swig.org/doc.html,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/swig ,  ACES: https://hprc.tamu.edu/software/aces/"
swr,Stampede-2,,,,,,,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
symphony,Rockfish,,,,,"Symphony is an open-source mixed-integer linear programming solver designed for solving large-scale optimization problems efficiently. It offers algorithms for mixed-integer linear programming (MILP) tasks, providing high-performance optimization capabilities for various industries and applications.",,,
synthcity,ACES,Library,,,,"Synthcity is a library for generating and evaluating synthetic tabular data for privacy, fairness and data augmentation. Description Source:https://github.com/vanderschaarlab/synthcity",https://github.com/vanderschaarlab/synthcity,https://synthcity.readthedocs.io/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
szip,"ACES, Rockfish",,Utilities,,,"Szip is compression software, providing lossless compression of scientific data. Szip is reported to provide fast and effective compression, specifically for the EOS data generated by the NASA Earth Observatory System. The primary gain with Szip compression is in speed of processing. Szip also provides some advantage in compression ratio over other compression methods. Description Source:https://support.hdfgroup.org/doc_resource/SZIP/",https://support.hdfgroup.org/doc_resource/SZIP/,https://apolo-docs.readthedocs.io/en/latest/software/scientific_libraries/Szip/Szip-2.1.1/index.html,ACES: https://hprc.tamu.edu/software/aces/
tabix,Rockfish,,,,,"Tabix is a tool and file format for indexing and querying large tab-delimited text files like genomic variants in Variant Call Format (VCF). It enables fast retrieval of genomic intervals and regions from indexed files, allowing efficient access to specific data entries without loading entire files into memory.",,,
TACC,Stampede-2,,,,,,,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
tacc_tips,Stampede-2,toolkit,,,,"HPC_Tips is a specialized database offering concise tips to assist users of High Performance Computing (HPC) systems. It features the 'showTips' program which displays random tips from its database, includes files with brief tips, provides a Python program to manage the database, and offers tools for configuration and installation of necessary programs.",https://github.com/TACC/HPC_Tips,https://github.com/TACC/HPC_Tips,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
tacc-apptainer,Stampede-2,applicaiton,container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://apptainer.org/,https://containers-at-tacc.readthedocs.io/en/latest/singularity/01.singularity_basics.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
tacc-singularity,Stampede-2,applicaiton,container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://apptainer.org/,https://containers-at-tacc.readthedocs.io/en/latest/singularity/01.singularity_basics.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
tar-1.32-gcc-9.3.0-nne6lsp,KyRIC,,Utilitles,,,"tar is a command-line utility used for archiving files and directories on Unix-based systems. It allows bundling multiple files and directories into a single archive file, often compressed using utilities like gzip or bzip2. tar is commonly used for backup, data transfer, and file compression tasks.",,,
TAU,"OOKAMI, Stampede-2, KyRIC, DARWIN",,,,,"TAU (Tuning and Analysis Utilities) is a performance analysis toolkit for measuring and diagnosing performance characteristics of parallel programs. It provides profiling, tracing, and visualization tools to optimize the performance of parallel applications across various platforms.",,," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  DARWIN: https://docs.hpc.udel.edu/software/tau/tau"
tbb,KyRIC,,,,,"The Intel Threading Building Blocks (TBB) is a C++ library for parallel programming that enables developers to create multi-threaded applications efficiently. It offers high-level constructs for parallelism, task-based programming, and workload distribution, simplifying the development of scalable and performance-oriented applications.",,,
tbb32,KyRIC,,,,,,,,
Tcl,"ACES, Rockfish, Rockfish",,,,,"Tcl (Tool Command Language) is a powerful dynamic programming language suitable for a wide range of uses, including web and desktop applications, networking, administration, and testing. Description Source:https://www.tcl.tk/",https://www.tcl.tk/,https://www.tcl.tk/man/tcl9.0/,ACES: https://hprc.tamu.edu/software/aces/
tcl-intel,Rockfish,,,,,,,,
tcsh,ACES,,,,,"tcsh is an enhanced version of the C shell (csh) with interactive command-line features for Unix-based systems. It provides a powerful shell with scripting capabilities, line editing, and command history functionalities. tcsh is known for its robust scripting language and interactive shell environment.",,,ACES: https://hprc.tamu.edu/software/aces/
Tecplot,DARWIN,,,,,"Tecplot is a powerful visualization and analysis software used for visualizing scientific and engineering data. It offers a range of tools for generating high-quality plots, 2D/3D visualizations, and post-processing capabilities to analyze complex data sets.",,,DARWIN: https://docs.hpc.udel.edu/software/tecplot/tecplot
TELEMAC-MASCARET,DARWIN,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/telemac-mascaret/telemac-mascaret
template,OOKAMI,,,,,,,,
tensorboard,ACES,,AI/ML,,,"TensorBoard is a visualization toolkit provided with TensorFlow for monitoring and visualizing various aspects of machine learning models and data. It offers interactive dashboards for tracking training metrics, visualizing computational graphs, and analyzing model performance and behavior.",,,ACES: https://hprc.tamu.edu/software/aces/
tensorboardX,ACES,,AI/ML,,,"TensorboardX is a PyTorch library that enables visualization of PyTorch models and data using TensorBoard. It allows users to log PyTorch models, metrics, gradients, and other data for visualization and monitoring in TensorBoard, enhancing the debugging and optimization process in deep learning experiments.",,,ACES: https://hprc.tamu.edu/software/aces/
tensorflow,"DARWIN, ACES, Bridges-2, Rockfish",Library,AI/ML,,,"TensorFlow is an open-source machine learning framework developed by the Google Brain team. It provides a comprehensive, flexible ecosystem of tools, libraries, and community resources that enables researchers and developers to build and deploy machine learning-powered applications easily.",https://www.tensorflow.org/,https://www.tensorflow.org/guide,"DARWIN: https://docs.hpc.udel.edu/software/tensorflow/tensorflow ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/tensorflow"
TensorRT,ACES,,,,,"TensorRT is an inference optimization toolkit developed by NVIDIA for high-performance deep learning inference. It allows developers to optimize and deploy deep neural networks on NVIDIA GPUs, achieving faster inference speeds and lower latency for real-time applications.",,,ACES: https://hprc.tamu.edu/software/aces/
tesseract,ACES,,,,,"Tesseract is an open-source OCR (Optical Character Recognition) engine originally developed by HP. It is widely used for recognizing and extracting text from images, supporting various languages and file formats. Tesseract provides accurate text recognition capabilities for diverse OCR applications.",,,ACES: https://hprc.tamu.edu/software/aces/
texinfo,Anvil,,,,,"Texinfo is a documentation system commonly used to typeset software manuals with the GNU Project. It uses a plain text format that can be converted into various output formats like HTML, PDF, and Info. Texinfo provides a structured way to write and publish documentation for software projects.",,,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/texinfo
texlive,"Stampede-2, Anvil, Rockfish",,,,,"TeX Live is a comprehensive TeX and LaTeX distribution that provides an extensive collection of TeX-related programs, fonts, and macro packages. It offers a cross-platform TeX system for typesetting documents, mathematical formulas, publications, and other text-heavy content, widely used in academia, publishing, and science.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/texlive"
Theano,"ACES, Bridges-2",,,,,"Theano is an open-source numerical computation library for deep learning research, development, and deployment. It allows users to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently, making it popular for building and training neural networks.",,,"ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/theano"
TIGER,Bridges-2,,,,,TIGER (Topological Information Gathering for Evaluation and Ranking) is a software tool designed for analyzing and ranking network topologies. It evaluates various network characteristics and provides insights into the structural properties of complex networks.,,,Bridges-2: https://www.psc.edu/resources/software/tiger
time,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
tk,"Anvil, ACES, Rockfish",,,,,,,,"Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/tk ,  ACES: https://hprc.tamu.edu/software/aces/"
tk-intel,Rockfish,,,,,,,,
Tkinter,ACES,,,,,"Tkinter is the standard GUI toolkit for Python, providing a set of tools for creating graphical user interfaces and windows applications. It is easy to use, customizable, and comes built-in with Python, allowing developers to create interactive applications with visual elements.",,,ACES: https://hprc.tamu.edu/software/aces/
tmux,"ACES, Bridges-2",,Utilities,,,tmux is a terminal multiplexer that allows users to create multiple terminal sessions in a single window. It enables users to work on multiple tasks simultaneously and disconnect from sessions without losing work.,,,"ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/tmux"
torchsampler,ACES,,,,,"torchsampler is a library that provides various data samplers for PyTorch, a popular deep learning framework. It offers efficient ways to sample data for training deep learning models.",,,ACES: https://hprc.tamu.edu/software/aces/
torchtext,ACES,,,,,torchtext is a library in PyTorch that simplifies the process of loading and preprocessing textual data for natural language processing (NLP) tasks. It provides various functionalities to handle text data efficiently.,,,ACES: https://hprc.tamu.edu/software/aces/
torchvision,ACES,,,,,"torchvision is a PyTorch library that provides computer vision utilities and pre-trained models for deep learning-based image processing tasks. It offers various tools for data loading, transformation, and model architecture specifically designed for computer vision applications.",,,ACES: https://hprc.tamu.edu/software/aces/
totalview,"Anvil, Rockfish",,"Debugger, Profiler",,,TotalView is a scalable and interactive debugger for parallel and high-performance computing (HPC) applications. It provides advanced debugging features to help developers analyze and optimize the performance of parallel programs running on clusters or supercomputers.,,,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/totalview
tqdm,ACES,,,,,"tqdm is a fast, extensible progress bar library for Python and command line applications. It provides a simple and customizable way to visualize the progress of iterative tasks, making it easier for users to track the execution of loops and tasks.",,,ACES: https://hprc.tamu.edu/software/aces/
transfig,Bridges-2,,,,,"TransFig is a tool used for converting figures produced by Xfig, a vector graphics editor, to other formats such as EPS, PDF, SVG, or PNG. It allows users to create complex vector-based illustrations and export them to widely supported file formats for publication or sharing.",,,Bridges-2: https://www.psc.edu/resources/software/transfig
trilinos,"Stampede-2, ACES, Rockfish",,Bioinformatics,Sciences,Biology,"Trilinos is an open-source collection of scientific computing libraries designed to support the development and deployment of scalable and high-performance computational software. It offers a wide range of solvers, linear algebra routines, and parallel computing capabilities for various scientific and engineering applications.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
trim_galore,Stampede-2,,Bioinformatics,Sciences,Biology,The TRIM (Thermal Radiation Interaction Model) software is used in computational fluid dynamics (CFD) simulations to accurately model thermal radiation exchanges within fluid flows. TRIM helps in studying the impact of thermal radiation on heat transfer and temperature distribution in various engineering applications.,,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
trimmomatic,Rockfish,,Bioinformatics,Sciences,Biology,"Trimmomatic is a widely-used tool in bioinformatics for the preprocessing and quality control of high-throughput sequencing data, such as those from next-generation sequencing platforms. It offers various functions to remove adapters, trim low-quality reads, and filter sequences based on user-defined parameters.",,,
Trinity,Bridges-2,,Bioinformatics,Sciences,Biology,"Trinity is a software tool used for de novo transcriptome assembly from RNA-Seq data. It is designed to reconstruct full-length transcripts and address the challenges of assembling transcriptomes without a reference genome, contributing to gene expression and functional analysis.",,,Bridges-2: https://www.psc.edu/resources/software/trinity
tRNAscan-se,Bridges-2,,Bioinformatics,Sciences,Biology,"tRNAscan-SE is a widely used software tool for the identification of transfer RNA (tRNA) genes in genomic sequences. It utilizes covariance models to predict tRNA structures and gene locations, providing valuable insights into tRNA biology and facilitating genomic annotation.",,,Bridges-2: https://www.psc.edu/resources/software/trnascan-se
trng,Stampede-2,,,,,"trng (Tina’s Random Number Generator Library) is a C++ library that provides a collection of high-quality pseudo-random number generators (PRNGs) for Monte Carlo simulations, statistical testing, and cryptography applications. It offers a range of PRNG algorithms with varying properties to suit different requirements.",,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
typing-extensions,ACES,,,,,"typing is a Python standard library module that provides support for type hints and type checking in Python code. It allows developers to specify the expected types of function arguments, return values, and variables to improve code readability and enable static type analysis using tools like mypy.",,,ACES: https://hprc.tamu.edu/software/aces/
UCC,ACES,,,,,"UCC (Unified Cybersecurity Command) is a comprehensive cybersecurity management platform designed to provide centralized security monitoring, incident response, and threat intelligence. It helps organizations streamline their security operations and respond effectively to cyber threats.",,,ACES: https://hprc.tamu.edu/software/aces/
UCC-CUDA,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
UCX,"Expanse, OOKAMI, Anvil, KyRIC, ACES, Rockfish",,,,,"UCX (Unified Communication X) is an open-source communication library designed for high-performance computing (HPC) systems. It provides a unified interface for efficient communication between parallel processes on different architectures, optimizing data transfers and enabling scalable performance in various HPC applications.",,," Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/ucx ,  ACES: https://hprc.tamu.edu/software/aces/"
UCX-CUDA,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
udunits,"Stampede-2, Anvil, ACES, Rockfish",,,,,"The UDUNITS library provides support for converting between different units of physical quantities in scientific data. It enables the conversion of units such as length, time, mass, temperature, etc., to facilitate consistent unit handling in various scientific applications and datasets.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/udunits ,  ACES: https://hprc.tamu.edu/software/aces/"
udunits2,Anvil,,,,,"UDUNITS-2 is a library and utility for handling units of physical quantities, offering capabilities for unit conversion and manipulation in scientific applications. It provides a flexible and robust system for managing units and performing conversions in a consistent and reliable manner.",,,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/udunits2
umfpack,Stampede-2,,,,,"UMFPACK is a suite of sparse matrix solvers for large-scale numerical computations, particularly focusing on solving sparse linear systems efficiently. It offers a range of direct and iterative solvers optimized for sparse matrices arising in diverse scientific and engineering applications.",,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
UnZip,ACES,,,,,"UnZip is a utility tool used for extracting and viewing files compressed in the ZIP format. It allows users to decompress ZIP archives, extract individual files, and preserve the directory structure of the compressed content.",,,ACES: https://hprc.tamu.edu/software/aces/
utf8proc,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
util-linux,"OOKAMI, ACES",,,,,,,, ACES: https://hprc.tamu.edu/software/aces/
util-linux-2.36-gcc-9.3.0-otku36t,KyRIC,,,,,,,,
util-linux-uuid-2.36-gcc-9.3.0-syp6lh5,KyRIC,,,,,,,,
util-macros-1.19.1-gcc-9.3.0-cpxnkry,KyRIC,,,,,,,,
VALET,DARWIN,,,,,"VALET (Variant Annotation, Analysis, and Search Tool) is a software tool used in genomics and clinical genetics for annotating and interpreting genetic variants. It aids in the analysis of genomic data by providing variant prioritization, functional impact assessment, and genetic variant search capabilities.",,,DARWIN: https://docs.hpc.udel.edu/software/valet/valet
