Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing,RP Name,RP Full Software Doc
elpa,"OOKAMI, ACES",library,,,,The publicly available ELPA library provides highly efficient and highly scalable direct eigensolvers for symmetric (hermitian) matrices. Descripiton Source=https://elpa.mpcdf.mpg.de/ABOUT_ELPA.html,https://elpa.mpcdf.mpg.de/,https://gitlab.mpcdf.mpg.de/elpa/elpa/-/blob/master/documentation/USERS_GUIDE.md,,,,,,,
emacs,"Anvil, Rockfish",,editor,,,,,,,,,,,,
ensembl-vep,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
entrezdirect,Expanse,,,,,,,,,,,,,,
ESMF,ACES,,,,,"The Earth System Modeling Framework (ESMF) is a suite of software tools for developing high-performance, multi-component Earth science modeling applications. Such applications may include a few or dozens of components representing atmospheric, oceanic, terrestrial, or other physical domains, and their constituent processes (dynamical, chemical, biological, etc.). Description Source=https://earthsystemmodeling.org/docs/release/latest/ESMF_usrdoc/node2.html",https://earthsystemmodeling.org/,https://earthsystemmodeling.org/doc/,,,,,,,
expat,"ACES, Rockfish",,,,,,,,,,,,,,
expat-2.2.10-gcc-9.3.0-dola2tn,KyRIC,,,,,,,,,,,,,,
expecttest,ACES,library,,,,"This library implements expect tests (also known as ""golden"" tests). Expect tests are a method of writing tests where instead of hard-coding the expected output of a test, you run the test to get the output, and the test framework automatically populates the expected output. Description Source=https://github.com/ezyang/expecttest",https://github.com/ezyang/expecttest,,,,,,,,
extrae,KyRIC,,,,,,,,,,,,,,
FASTA-Splitter,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
fastai,ACES,,,,,"fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains, and provides researchers with low-level components that can be mixed and matched to build new approaches. It aims to do both things without substantial compromises in ease of use, flexibility, or performance. Description Source=https://docs.fast.ai/#about-fastai",https://www.fast.ai/,https://docs.fast.ai/,,,,,,,
FastANI,Bridges-2,,,,,,,,,,,,,,
FASTQ-Splitter,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
FastQC,"Stampede-2, ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"FastQC aims to provide a QC report which can spot problems which originate either in the sequencer or in the starting library material. Whereas Most sequencers will generate a QC report as part of their analysis pipeline, but this is usually only focused on identifying problems which were generated by the sequencer itself. Description Source=https://www.bioinformatics.babraham.ac.uk/projects/fastqc/Help/1%20Introduction/1.1%20What%20is%20FastQC.html",https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/Help/,,,,,,,
FASTX Toolkit,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
fastx_toolkit,Stampede-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
feh,Rockfish,,,,,,,,,,,,,,
fenics,Rockfish,,,,,,,,,,,,,,
ferret,Rockfish,,,,,,,,,,,,,,
ffmpeg,"OOKAMI, Stampede-2, ACES, Rockfish",,,,,"FFmpeg is a collection of libraries and tools to process multimedia content such as audio, video, subtitles and related metadata. Description Source=https://github.com/FFmpeg/FFmpeg",https://www.ffmpeg.org/,https://www.ffmpeg.org/documentation.html,,,,,,,
ffnvcodec,ACES,,,,,FFmpeg version of headers required to interface with Nvidias codec APIs. Description Source=https://github.com/FFmpeg/nv-codec-headers,https://git.videolan.org/?p=ffmpeg/nv-codec-headers.git,,,,,,,,
FFTW,"Anvil, DARWIN, ACES, Delta, Rockfish",library,mathematics,Engineering,,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source=https://www.fftw.org/",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,,,,DARWIN: https://docs.hpc.udel.edu/software/fftw/fftw,/apps/spack/anvil/apps/fftw/2.1.5-gcc-11.2.0-5svwdae/lib,,
fftw-3.3.9-gcc-9.3.0-7ffoo22,KyRIC,,,Engineering,,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source=https://www.fftw.org/",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,,,,,,,
FFTW.MPI,ACES,,,Engineering,,"FFTW.mpi is a part of the FFTW (Fastest Fourier Transform in the West) library that specializes in performing highly efficient, parallel Fast Fourier Transforms (FFTs) using MPI (Message Passing Interface) for distributed-memory computing environments. This extension enables the library to handle large-scale FFT computations across multiple processors in a cluster, optimizing performance for applications in engineering, physics, and other scientific fields that require processing large datasets or complex numerical simulations.",https://www.fftw.org/,https://fftw.org/doc/Distributed_002dmemory-FFTW-with-MPI.html,,,,,,,
fftw2,Stampede-2,,,Engineering,,,,,,,,,,,
FFTW3,"OOKAMI, Stampede-2, Bridges-2",library,mathematics,Engineering,,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source=https://www.fftw.org/",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,,,,,,,
file,ACES,,,,,"The file command is ""a file type guesser"", that is, a command-line tool that tells you in words what kind of data a file contains. Description Source=https://www.darwinsys.com/file/",https://www.darwinsys.com/file/,https://github.com/file/file,,,,,,,
Firefox,"ACES, Rockfish",application,,,,"Firefox is a free, open source Web browser for Windows, Linux and Mac OS X.",https://www.mozilla.org/en-US/firefox/new/,,,,,,,,
FLAC,ACES,,,,,"FLAC stands for Free Lossless Audio Codec, an audio format similar to MP3, but lossless, meaning that audio is compressed in FLAC without any loss in quality. Description Source=https://xiph.org/flac/",https://xiph.org/flac/,https://xiph.org/flac/documentation.html,,,,,,,
FLASh,Bridges-2,,,,,,,,,,,,,,
Flask,ACES,,,,,"Flask is a lightweight WSGI web application framework. It is designed to make getting started quick and easy, with the ability to scale up to complex applications. Description Source=https://palletsprojects.com/p/flask/",https://palletsprojects.com/p/flask/,https://flask.palletsprojects.com/en/3.0.x/,,,,,,,
flatbuffers,ACES,library,,,,"FlatBuffers is a cross platform serialization library architected for maximum memory efficiency. It allows you to directly access serialized data without parsing/unpacking it first, while still having great forwards/backwards compatibility. Description Source=https://github.com/google/flatbuffers/",https://flatbuffers.dev/,https://flatbuffers.dev/,,,,,,,
flatbuffers-python,ACES,library,,,,"FlatBuffers is a cross platform serialization library architected for maximum memory efficiency. It allows you to directly access serialized data without parsing/unpacking it first, while still having great forwards/backwards compatibility. Description Source=https://github.com/google/flatbuffers/",https://flatbuffers.dev/,https://flatbuffers.dev/flatbuffers_guide_use_python.html,,,,,,,
flex,"OOKAMI, ACES",,,,,flex (fast lexical analyzer generator) is a tool for generating scanners: programs which recognize lexical patterns in text. Description Source=https://github.com/westes/flex,https://github.com/westes/flex,https://github.com/westes/flex,,,,,,,
FlexiBLAS,ACES,library,,,,FlexiBLAS is a wrapper library that enables the exchange of the BLAS and LAPACK implementation used by a program without recompiling or relinking it. Description Source=https://gitlab.mpi-magdeburg.mpg.de/software/flexiblas-release,https://www.mpi-magdeburg.mpg.de/projects/flexiblas,https://gitlab.mpi-magdeburg.mpg.de/software/flexiblas-release#documentation,,,,,,,
fltk,"ACES, Rockfish",,,,,"FLTK is a cross-platform C++ GUI toolkit for UNIX®/Linux® (X11), Microsoft® Windows®, and macOS®. FLTK provides modern GUI functionality without the bloat and supports 3D graphics via OpenGL® and its built-in GLUT emulation. Description Source=https://www.fltk.org/",https://www.fltk.org/,https://www.fltk.org/documentation.php,,,,,,,
Fluent,Bridges-2,Software,Fluid Simulation,Engineering,,"Fluent is a computational fluid dynamics (CFD) software for simulating and analyzing fluid flow, heat transfer, and chemical reactions, widely used in engineering and research fields. It offers advanced modeling capabilities and a user-friendly interface for complex fluid dynamics studies.",https://www.ansys.com/products/fluids/ansys-fluent,,,,,,Same as ANSYS -Fluent,,
FMS2,OOKAMI,,,,,,,,,,,,,,
fontconfig,"ACES, Rockfish",,,,,Fontconfig is a library for configuring and customizing font access. Description Source=https://www.freedesktop.org/wiki/Software/fontconfig/,https://www.freedesktop.org/wiki/Software/fontconfig/,https://fontconfig.pages.freedesktop.org/fontconfig/fontconfig-user.html,,,,,,,
Fortran,"DARWIN, Bridges-2",,Compilers,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/fortran/fortran,,,
foss,ACES,,,,,"The foss common compiler toolchain consists entirely of open source software (hence the name, derived from the common term 'FOSS', which is short for ""Free and Open Source Software""). Description Source=https://docs.easybuild.io/common-toolchains/#common_toolchains_foss",https://docs.easybuild.io/,https://docs.easybuild.io/common-toolchains/,,,,,,,
fosscuda,ACES,,,,,"fosscuda is a compiler toolchain with GCC+CUDA, OpenMPI, OpenBLAS, ScaLAPACK and FFTW. Description Source=https://docs.easybuild.io/api/easybuild/toolchains/fosscuda/?h=fosscuda",https://docs.easybuild.io/,,,,,,,,
freeglut,ACES,,,,,"freeglut is a free-software/open-source alternative to the OpenGL Utility Toolkit (GLUT) library. GLUT (and hence freeglut) takes care of all the system-specific chores required for creating windows, initializing OpenGL contexts, and handling input events, to allow for trully portable OpenGL programs. Description Source=https://freeglut.sourceforge.net/",https://freeglut.sourceforge.net/,https://freeglut.sourceforge.net/docs/api.php,,,,,,,
freeipmi,OOKAMI,,,,,,,,,,,,,,
freetype,"ACES, Rockfish",,,,,FreeType is a freely available software library to render fonts. Description Source=https://freetype.org/,https://freetype.org/,https://freetype.org/freetype2/docs/documentation.html,,,,,,,
fribidi,"ACES, Rockfish",library,,,,The Free Implementation of the Unicode Bidirectional Algorithm. Description Source=https://github.com/fribidi/fribidi?tab=readme-ov-file,https://github.com/fribidi/fribidi,https://github.com/fribidi/fribidi,,,,,,,
fujitsu,OOKAMI,,,,,,,,,,,,,,
Funannotate,Bridges-2,,,,,,,,,,,,,,
GAMESS,"Stampede-2, Bridges-2",application,"analysis, molecular quantum chemistry",Sciences,Chemistry,"GAMESS (General Atomic and Molecular Electronic Structure System) is used for ab initio quantum chemistry calculations. It provides a wide range of methods for studying molecular systems, including ground state energies, molecular geometry optimization, and electronic properties, making it a valuable tool for researchers in chemistry and physics.",https://www.msg.chem.iastate.edu/gamess/index.html,https://www.msg.chem.iastate.edu/gamess/documentation.html,,,,,,,
GATK,"Stampede-2, Bridges-2, Rockfish",toolkit,Bioinformatics,Sciences,Biology,GATK (Genome Analysis Toolkit) is a collection of command-line tools for analyzing high-throughput sequencing data with a primary focus on variant discovery. The tools can be used individually or chained together into complete workflows. Description Source=https://gatk.broadinstitute.org/hc/en-us/articles/360036194592-Getting-started-with-GATK4,https://gatk.broadinstitute.org/hc/en-us,https://gatk.broadinstitute.org/hc/en-us,,,,,,,
Gaussian,"Stampede-2, DARWIN, Bridges-2, Rockfish",application,"modeling, chemistry, biochemistry, mathematics",Sciences,Chemistry,"Gaussian is a computational chemistry software for quantum mechanical simulations, widely used by researchers for studying molecular structures and reactions. It offers advanced capabilities in electronic structure prediction and various spectroscopic properties analysis.",https://gaussian.com/,https://gaussian.com/man/,,,,DARWIN: https://docs.hpc.udel.edu/software/gaussian/gaussian,,,
gaussview,Rockfish,service,GUI,Sciences,Chemistry,"GaussView aids in the creation of Gaussian input files, enables the user to run Gaussian calculations from a graphical interface without the need for using a command line instruction, and helps in the interpretation of Gaussian output. Description Source=https://gaussian.com/gaussview6/",https://gaussian.com/gaussview6/,https://gaussian.com/wp-content/uploads/dl/gv6.pdf,,,,,,,
gawk-5.1.0-gcc-9.3.0-is2xpxq,KyRIC,service,Utilties,,,,,,,,,,,,
gcc,"FASTER, Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",service,Compilers,,,"GCC, the GNU Compiler Collection, is an open-source compiler system that supports various programming languages like C, C++, Objective-C, Fortran, Ada, and Go. It is widely used in software development for compiling source code into executable programs, providing robust performance and extensive compatibility across different platforms and operating systems. Description Source=https://gcc.gnu.org/",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,,,,,,,
gcc-10.2.0-gcc-9.3.0-prm4se2,KyRIC,,,,,"GCC, the GNU Compiler Collection, is an open-source compiler system that supports various programming languages like C, C++, Objective-C, Fortran, Ada, and Go. It is widely used in software development for compiling source code into executable programs, providing robust performance and extensive compatibility across different platforms and operating systems. Description Source=https://gcc.gnu.org/",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,,,,,,,
GCCcore,"ACES, Rockfish",,,,,"The GNU Compiler Collection includes front ends for C, C++, Objective-C, Fortran, Ada, Go, and D, as well as libraries for these languages (libstdc++,...). GCC was originally written as the compiler for the GNU operating system. Description Source=https://gcc.gnu.org/",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,,,,,,,
gcccuda,ACES,,,,,,,,,,,,,,
gdal,"ACES, Rockfish",library,,,,GDAL is a translator library for raster and vector geospatial data formats that is released under an MIT style Open Source License by the Open Source Geospatial Foundation. Description Source=https://gdal.org/,https://gdal.org/,https://gdal.org/gdal.pdf,,,,,,,
gdb,Anvil,,Debugger,,,,,,,,,,,,
gdbm-1.18.1-gcc-9.3.0-33qtrum,KyRIC,,,,,,,,,,,,,,
Gdk-Pixbuf,ACES,,,,,The Gdk Pixbuf package is a toolkit for image loading and pixel buffer manipulation. It is used by GTK+ 2 and GTK+ 3 to load and manipulate images. In the past it was distributed as part of GTK+ 2 but it was split off into a separate package in preparation for the change to GTK+ 3. Description Source=https://www.linuxfromscratch.org/blfs/view/11.2/x/gdk-pixbuf.html,https://www.gtk.org/,https://docs.gtk.org/gdk-pixbuf/,,,,,,,
GDRCopy,ACES,,,,,"GDRCopy is a low-latency GPU memory copy library based on GPUDirect RDMA technology that allows the CPU to directly map and access GPU memory. GDRCopy also provides optimized copy APIs and is widely used in high-performance communication runtimes like UCX, OpenMPI, MVAPICH, and NVSHMEM. Description Source=https://developer.nvidia.com/gdrcopy",https://developer.nvidia.com/gdrcopy,,,,,,,,
GeneMark-ES,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
gengetopt,Rockfish,,,,,,,,,,,,,,
GeNT,Bridges-2,,,,,,,,,,,,,,
geos,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
geos-chem,Rockfish,,,,,,,,,,,,,,
gethost,OOKAMI,,,,,,,,,,,,,,
gettext,"ACES, Rockfish",,,,,,,,,,,,,,
gettext-0.21-gcc-9.3.0-x4s52y3,KyRIC,,,,,,,,,,,,,,
gfbf,ACES,,,,,,,,,,,,,,
gh,Expanse,,,,,,,,,,,,,,
Ghostscript,ACES,,,,,,,,,,,,,,
giflib,ACES,,,,,,,,,,,,,,
Git,"Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",service,Utilties,,,"Git is a distributed version control system, widely used for tracking changes in source code during software development. It allows multiple developers to work collaboratively on a project, providing tools for managing versions, resolving conflicts, and maintaining a history of changes made to the codebase.",https://git-scm.com/,https://git-scm.com/docs,,,,,,,
git-2.29.0-gcc-9.3.0-3xgg4ng,KyRIC,,Utilties,,,,,,,,,,,,
git-annex,Rockfish,,Utilties,,,,,,,,,,,,
git-lfs,"Expanse, ACES, Rockfish",,Utilties,,,,,,,,,,,,
GL2PS,ACES,,,,,,,,,,,,,,
GLFW,ACES,,,,,,,,,,,,,,
glib,"ACES, Rockfish",,,,,,,,,,,,,,
GLM,ACES,,,,,,,,,,,,,,
glpk,"ACES, Rockfish, Rockfish",,,,,,,,,,,,,,
gmp,"OOKAMI, Anvil, ACES, Rockfish",,,,,,,,,,,,,,
gmp-6.1.2-gcc-9.3.0-hpbiokz,KyRIC,,,,,,,,,,,,,,
gmt,Stampede-2,,,,,,,,,,,,,,
GNU Parallel,Bridges-2,,,,,,,,,,,,,,
gnu-parallel,OOKAMI,,,,,,,,,,,,,,
gnu9,KyRIC,,Compiler,,,,,,,,,,,,
gnuparallel,Stampede-2,,Utiltites,,,,,,,,,,,,
gnuplot,"OOKAMI, ACES, Rockfish",application,"modeling, mathematics",Engineering,,gnuplot is a command-driven plotting program. It can be used interactively to plot functions and data points in both two- and three-dimensional plots in many different styles and many different output formats. Gnuplot can also be used as a scripting language to automate generation of plots. Description Source=http://www.gnuplot.info/faq/#x1-60001.1,https://gnuplot.sourceforge.net/,https://gnuplot.sourceforge.net/documentation.html,,,,,,,
gnutls,Rockfish,,,,,,,,,,,,,,
go,"OOKAMI, ACES, Rockfish",,Programming Language,,,,,,,,,,,,
go-1.16-gcc-9.3.0-ajolq4h,KyRIC,,Programming Language,,,,,,,,,,,,
go-bootstrap-1.4-bootstrap-20171003-gcc-9.3.0-wjszkk6,KyRIC,,Programming Language,,,,,,,,,,,,
GObject-Introspection,ACES,,,,,,,,,,,,,,
gompi,ACES,,,,,,,,,,,,,,
gompic,ACES,,,,,,,,,,,,,,
googletest,ACES,,,,,,,,,,,,,,
gpaw,"Stampede-2, Anvil",,,,,GPAW is a density-functional theory (DFT) Python code based on the projector-augmented wave (PAW) method and the atomic simulation environment (ASE).,,,,,,,/apps/spack/anvil/apps/py-gpaw/21.1.0-gcc-11.2.0-623twdz/bin,,
gperf,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
gperftools,"OOKAMI, ACES",,,,,,,,,,,,,,
gpustat,"ACES, Rockfish",,,,,,,,,,,,,,
Graphene,ACES,,,,,,,,,,,,,,
GraphicsMagick,ACES,,,,,,,,,,,,,,
graphite2,ACES,,,,,,,,,,,,,,
Greenlet,ACES,,,,,,,,,,,,,,
groff,ACES,,,,,,,,,,,,,,
GROMACS,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish",application,"chemistry, analysis",,Chemistry,"GROMACS (GROningen MAchine for Chemical Simulations) is a molecular dynamics package primarily designed for simulations of proteins, lipids and nucleic acids. It was originally developed in the Biophysical Chemistry department of University of Groningen, and is now maintained by contributors in universities and research centers across the world.",https://www.gromacs.org/,https://manual.gromacs.org/current/index.html,,,,DARWIN: https://docs.hpc.udel.edu/software/gromacs/gromacs,/apps/spack/anvil/apps/gromacs/2019.6-gcc-11.2.0-aryuay6/bin,,
gromacs-2021.4-gcc-9.3.0-odn2sfc,KyRIC,Package,"chemistry, analysis",,Chemistry,"GROMACS is a versatile package to perform molecular dynamics, i.e. simulate the Newtonian equations of motion for systems with hundreds to millions of particles and is a community-driven project.",https://www.gromacs.org/,https://manual.gromacs.org/current/index.html,,,,,,,
gsl,"Stampede-2, Anvil, ACES, Rockfish",Library,Mathematics,,Mathematics,"The GNU Scientific Library (GSL) is a numerical library for C and C++ programmers. The library provides a wide range of mathematical routines such as random number generators, special functions and least-squares fitting.",https://www.gnu.org/software/gsl/,https://www.gnu.org/software/gsl/#documentation,,,,,,,
GST-plugins-bad,ACES,,,,,,,,,,,,,,
GST-plugins-base,ACES,,,,,,,,,,,,,,
GStreamer,ACES,,,,,,,,,,,,,,
GTK2,ACES,,Bioinformatics,Sciences,Biology,,,,,,,,,,
GTK3,ACES,,Bioinformatics,Sciences,Biology,,,,,,,,,,
GTK4,ACES,,Bioinformatics,Sciences,Biology,,,,,,,,,,
gts,Rockfish,,,,,,,,,,,,,,
gulp,Stampede-2,,,,,,,,,,,,,,
Guppy,Bridges-2,,,,,,,,,,,,,,
gurobi,"DARWIN, Bridges-2, Rockfish",,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/gurobi/gurobi,,,
gzip,ACES,,Utilities,,,,,,,,,,,,
h5py,ACES,,,,,,,,,,,,,,
hadoop,Anvil,,,,,,,,,,,,,,
harfbuzz,"ACES, Rockfish",,,,,,,,,,,,,,
hashdeep,Bridges-2,,,,,,,,,,,,,,
hdf,"Anvil, ACES",,,,,,,,,,,,,,
HDF5,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Bridges-2, Rockfish",,,,,"HDF5 is a data model, library, and file format for storing and managing data. It supports an unlimited variety of datatypes, and is designed for flexible and efficient I/O and for high volume and complex data",https://www.hdfgroup.org/solutions/hdf5/,https://portal.hdfgroup.org/documentation/,,,,,/apps/spack/anvil/apps/hdf5/1.10.7-gcc-11.2.0-3hn56wr/bin,,
heasoft,Rockfish,,,,,,,,,,,,,,
help2man,ACES,,,,,,,,,,,,,,
helpers,Rockfish,,,,,,,,,,,,,,
hh-suite,"ACES, Rockfish",,,,,,,,,,,,,,
Highway,ACES,,,,,,,,,,,,,,
hiredis,ACES,,,,,,,,,,,,,,
HISAT2,Bridges-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
hmmer,"ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,,,,,,,,,,
Homer,Bridges-2,,,,,,,,,,,,,,
hoomd,Stampede-2,,,,,,,,,,,,,,
Horovod,ACES,,,,,,,,,,,,,,
HPC Toolkit,Jetstream2,,,,,"HPCToolkit is an integrated suite of tools for measurement and analysis of program performance on computers ranging from multicore desktop systems to the nation's largest supercomputers. By using statistical sampling of timers and hardware performance counters, HPCToolkit collects accurate measurements of a program's work, resource consumption, and inefficiency and attributes them to the full calling context in which they occur.",,,,,,,/apps/spack/anvil/apps/hpctoolkit/2021.03.01-gcc-11.2.0-cmaxlc6/bin,,
HPCC,DARWIN,,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/hpcc/hpcc,,,
hpctoolkit,"Stampede-2, Anvil",,,,,,,,,,,,,,
HPN-SSH,Bridges-2,,,,,,,,,,,,,,
hspice,Anvil,,,,,,,,,,,,,,
htop,"OOKAMI, Stampede-2, Delta",,,,,,,,,,,,,,
htslib,"ACES, Bridges-2, Rockfish, Rockfish",,Bioinformatics,Sciences,Biology,,,,,,,,,,
hwloc,"OOKAMI, Anvil, KyRIC, ACES, Rockfish",,,,,,,,,,,,,,
hwloc-2.4.1-gcc-9.3.0-6l4b2ui,KyRIC,,,,,,,,,,,,,,
Hyperopt,ACES,,,,,,,,,,,,,,
hypothesis,ACES,,,,,,,,,,,,,,
hypre,"Stampede-2, ACES, Rockfish",,,,,,,,,,,,,,
ibrun,Rockfish,,,,,,,,,,,,,,
iCommands,Bridges-2,,,,,,,,,,,,,,
ICU,ACES,,,,,,,,,,,,,,
icu4c-67.1-gcc-9.3.0-rxzi3va,KyRIC,,,,,,,,,,,,,,
idev,Stampede-2,,,,,,,,,,,,,,
idl,Stampede-2,,,,,,,,,,,,,,
igv,Rockfish,,,,,,,,,,,,,,
iimpi,ACES,,,,,,,,,,,,,,
imageio,ACES,,,,,,,,,,,,,,
ImageJ,ACES,,,,,,,,,,,,,,
ImageMagick,"OOKAMI, ACES, Delta, Rockfish",Library,,,,"ImageMagick is a free, open-source software suite, used for editing and manipulating digital images. It can be used to create, edit, compose, or convert bitmap images, and supports a wide range of file formats, including JPEG, PNG, GIF, TIFF, and PDF.",https://imagemagick.org/,https://imagemagick.org/script/command-line-tools.php,,,,,,,
Imath,ACES,,,,,,,,,,,,,,
imb,KyRIC,,,,,,,,,,,,,,
imbalanced-learn,ACES,,,,,,,,,,,,,,
imkl,ACES,,,,,,,,,,,,,,
imkl-FFTW,ACES,,,,,,,,,,,,,,
Imlib2,Rockfish,,,,,,,,,,,,,,
impi,"Stampede-2, ACES",,Intel Compiler,,,,,,,,,,,,
Infernal,Bridges-2,,,,,,,,,,,,,,
init_opencl,KyRIC,,,,,,,,,,,,,,
inspector,KyRIC,,,,,,,,,,,,,,
intel,"Expanse, OOKAMI, Stampede-2, KyRIC, ACES, Rockfish",service,Compilers,,,,,,,,,,,,
Intel OneAPI,Jetstream2,,Compilers,,,,,,,,,,,,
Intel_AI_toolkit,ACES,,Compilers,,,,,,,,,,,,
intel_ipp_ia32,"Anvil, Rockfish",,Compilers,,,,,,,,,,,,
intel_ipp_intel64,Delta,,Compilers,,,,,,,,,,,,
intel_ippcp_ia32,Delta,,Compilers,,,,,,,,,,,,
intel_ippcp_intel64,"Anvil, Delta",,Compilers,,,,,,,,,,,,
intel-compilers,Anvil,,Compilers,,,,,,,,,,,,
intel-mkl,Delta,,Compilers,,,,,,,,,,,,
intel-oneapi-advisor,KyRIC,,Compilers,,,,,,,,,,,,
intel-oneapi-compilers,KyRIC,,Compilers,,,,,,,,,,,,
intel-oneapi-mkl,KyRIC,,Compilers,,,,,,,,,,,,
intel-oneapi-tbb,KyRIC,,Compilers,,,,,,,,,,,,
intltool,ACES,,,,,,,,,,,,,,
ipmitool,OOKAMI,,,,,,,,,,,,,,
IPython,ACES,,,,,,,,,,,,,,
irods,Stampede-2,,Data Management,,,,,,,,,,,,
ISA-L,ACES,,,,,,,,,,,,,,
itac,"Stampede-2, KyRIC",,,,,,,,,,,,,,
ITK,ACES,,,,,,,,,,,,,,
jags,Rockfish,,,,,,,,,,,,,,
jarvis-tools,Rockfish,,,,,,,,,,,,,,
jasmine,Rockfish,,,,,,,,,,,,,,
jasper,"ACES, Rockfish",,,,,,,,,,,,,,
java,"Jetstream2, DARWIN, ACES, Rockfish, Rockfish",,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/java/java,,,
"Java, Julia",Bridges-2,,,,,,,,,,,,,,
jax,ACES,,,,,,,,,,,,,,
jbigkit,ACES,,,,,,,,,,,,,,
jdftx,Rockfish,,,,,,,,,,,,,,
jellyfish,Rockfish,,,,,,,,,,,,,,
json-c,ACES,,,,,,,,,,,,,,
json-c-0.13.1-gcc-9.3.0-mpcyruj,KyRIC,,,,,,,,,,,,,,
JsonCpp,ACES,,,,,,,,,,,,,,
julia,"OOKAMI, ACES, Rockfish",Programming Language ,,,,,,,,,,,,,
jupyter,"Jetstream2, Anvil, Bridges-2",application,IDE,,,"JupyterLab is the latest web-based interactive development environment for notebooks, code, and data. Its flexible interface allows users to configure and arrange workflows in data science, scientific computing, computational journalism, and machine learning.",https://jupyter.org/,https://docs.jupyter.org/en/latest/,,,,,,,
jupyterhub,"Jetstream2, Anvil",application,IDE,,,JupyterHub brings the power of notebooks to groups of users. It gives users access to computational environments and resources without burdening the users with installation and maintenance tasks.,https://jupyter.org/hub,https://docs.jupyter.org/en/latest/,,,,,,,
jupyterlab,"Jetstream2, Rockfish",application,IDE,,,"JupyterLab is the latest web-based interactive development environment for notebooks, code, and data. Its flexible interface allows users to configure and arrange workflows in data science, scientific computing, computational journalism, and machine learning.",https://jupyter.org/,https://docs.jupyter.org/en/latest/,,,,,,,
KaHIP,ACES,,,,,,,,,,,,,,
kalign,"ACES, Rockfish",,,,,,,,,,,,,,
Keras,Bridges-2,,AI/ML,,,,,,,,,,,,
kim-api,ACES,,,,,,,,,,,,,,
kineto,ACES,,,,,,,,,,,,,,
kokkos,"OOKAMI, Delta",,,,,,,,,,,,,,
Kracken2,Bridges-2,,,,,,,,,,,,,,
kraken2,Rockfish,,,,,,,,,,,,,,
kyric,KyRIC,,,,,,,,,,,,,,
LAME,ACES,,,,,,,,,,,,,,
LAMMPS,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish",,,Sciences,Chemistry,"LAMMPS is a classical molecular dynamics code with a focus on materials modeling. LAMMPS has potentials for solid-state materials (metals, semiconductors) and soft matter (biomolecules, polymers) and coarse-grained or mesoscopic systems. It can be used to model atoms or, more generically, as a parallel particle simulator at the atomic, meso, or continuum scale.",https://www.lammps.org/,https://docs.lammps.org/Manual.html,,,,DARWIN: https://docs.hpc.udel.edu/software/lammps/lammps,,,
