software name,RP Name,Description,core features,tags,software type,software class,research field,research area,research discipline,Software's Web Page,Software Documentation,Tutorials
vpl,kyric,"VPL (Visual Programming Language) is a software tool that allows users to create programs by manipulating graphical elements rather than by specifying them textually. It provides a visual interface for programming tasks, making it easier for beginners to understand programming concepts and create functioning code.","1. Graphical programming interface
2. Drag-and-drop programming elements
3. Simplified program structuring
4. Visual representation of program flow
5. Real-time feedback and debugging","Visual Programming, Beginner-friendly, Graphical Interface",Language Programming,Programming Tool,Computer and Information Sciences,,,https://github.com/intel/libvpl,https://intel.github.io/libvpl/latest/,"https://www.intel.com/content/www/us/en/developer/articles/guide/get-started-with-the-oneapi-video-processing-library.html , https://www.intel.com/content/www/us/en/developer/videos/onevpl-programming-model-and-code-samples.html#gs.9rgdvr , https://github.com/intel/libvpl/tree/main/examples "
snpeff,anvil,SnpEff is a genetic variant annotation and functional effect prediction tool designed to annotate and predict the effects of genetic variants within genomic sequences.,"Variant annotation, Functional effect prediction, Genomic sequence analysis","Genetic variants, Annotation, Functional prediction",Tool,Bioinformatics,Biological Sciences,,,,,
kraken2,"aces, anvil, bridges","Kraken 2 is a taxonomic sequence classifier that assigns taxonomic labels to DNA sequences. It utilizes exact k-mer matches to rapidly assign taxonomic labels to DNA sequences, making it especially efficient for large metagenomic datasets.","Rapid taxonomic sequence classification, Utilizes exact k-mer matches, Efficient for large metagenomic datasets, Supports standard sequence file formats","Bioinformatics, Taxonomic Classification, Metagenomics, Sequence Analysis",Bioinformatics Tool,Tool,Biological Sciences,Bioinformatics,Biological Sciences,https://ccb.jhu.edu/software/kraken2/index.shtml,https://github.com/DerrickWood/kraken2/wiki/Manual ,"https://bioinformaticsworkbook.org/dataAnalysis/Metagenomics/Kraken.html ,https://jodyphelan.gitbook.io/tutorials/ngs/kraken2 "
kraken2,"aces, anvil, bridges","Kraken 2 is a taxonomic sequence classifier that assigns taxonomic labels to DNA sequences. It utilizes exact k-mer matches to rapidly assign taxonomic labels to DNA sequences, making it especially efficient for large metagenomic datasets.","Rapid taxonomic sequence classification, Utilizes exact k-mer matches, Efficient for large metagenomic datasets, Supports standard sequence file formats","Bioinformatics, Taxonomic Classification, Metagenomics, Sequence Analysis",Bioinformatics Tool,Tool,Biological Sciences,Bioinformatics,Biological Sciences,,,
libcap-devel,ookami,The libcap-devel package contains the development files and documentation for the libcap library. This library implements the user-space interfaces to the POSIX 1003.1e capabilities available in Linux kernels.,1. Development files for libcap library. 2. Documentation for the libcap library. 3. Implementation of user-space interfaces to POSIX capabilities in Linux kernels.,"library, development, documentation",Library,Development Libraries,Computer and Information Sciences,,,https://git.kernel.org/pub/scm/libs/libcap/libcap.git/about/,https://git.kernel.org/pub/scm/libs/libcap/libcap.git/tree/doc,https://git.kernel.org/pub/scm/libs/libcap/libcap.git/tree/progs
blast+,"aces, faster, ookami",BLAST+ (Basic Local Alignment Search Tool) is a suite of tools for performing similarity searches of nucleotide and protein databases. It is widely used for comparing biological sequences to identify homologous sequences and infer functional and evolutionary relationships.,"Search nucleotide and protein databases for similarity, Identify homologous sequences, Infer functional and evolutionary relationships, Highly efficient search algorithms","Bioinformatics, Computational Biology, Genomics, Sequence Analysis",Bioinformatics Tool,Search and Alignment Tool,Biological Sciences,Genomics,Bioinformatics,https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html,https://github.com/ncbi/blast_plus_docs,https://github.com/ncbi/blast_plus_docs?tab=readme-ov-file#section-2---a-step-by-step-guide-using-the-blast-docker-image
draco,"aces, faster",Draco is a software library for compressing and decompressing 3D geometric meshes and point clouds. It is designed to improve the storage and transmission of 3D graphics data by offering high compression ratios while maintaining the geometric integrity of the data.,"1. High compression ratios for 3D geometric data
2. Maintains geometric integrity during compression and decompression
3. Supports both mesh and point cloud data formats
4. Optimized for performance and memory usage
5. Portable and easy to integrate into existing software pipelines","compression, 3D graphics, geometric data, mesh, point cloud",library,,Computer and Information Sciences,,,,,
libidn2,"aces, faster, kyric","Libidn2 is a library that implements the Stringprep, Punycode and IDNA specifications defined by the IETF Internationalized Domain Names (IDN) working group.","Libidn2 provides support for Internationalized Domain Names (IDNs), which allows domain names containing non-ASCII characters to be translated into a valid format that can be used in the Domain Name System (DNS). It includes functionality for converting domain names to and from Punycode, as well as performing string preparation according to the Stringprep protocol.","domain names, IDNs, stringprep, Punycode",Utility,Library,Computer and Information Sciences,,,,,
generativemodels,aces,"Generative models are a class of artificial intelligence algorithms used in unsupervised machine learning. They aim to learn and then generate new data instances that closely resemble the training data. Generative models have applications in various fields, including image generation, text generation, and anomaly detection.","1. Learn the underlying structure of the training data
2. Generate new data instances that mimic the training data
3. Can be used for data augmentation and anomaly detection
4. Includes popular models like GANs (Generative Adversarial Networks) and VAEs (Variational Autoencoders)","Generative Models, Unsupervised Learning, Artificial Intelligence, Machine Learning",Artificial Intelligence,Machine Learning Algorithm,Computer and Information Sciences,Machine Learning,Artificial Intelligence and Intelligent Systems,,,
cellranger-atac,anvil,Cell Ranger ATAC is a software package developed by 10x Genomics for analyzing and visualizing chromatin accessibility data from single-cell ATAC-seq experiments.,"Key features include alignment, barcode processing, filtering, peak calling, quality control, clustering, and data visualization.","ATAC-seq, single-cell analysis, chromatin accessibility",Analysis Tool,Bioinformatics,Biological Sciences,Single-cell Chromatin Biology,Genomics,https://support.10xgenomics.com/single-cell-atac/software/overview/welcome,https://www.10xgenomics.com/support/single-cell-atac/documentation,https://pages.10xgenomics.com/sup-how-to-single-cell-atac-v2.html
tiara,anvil,Tiara is an integrated approach for efficient and accurate genomic variant calling from gene panel data. It combines multiple variant calling tools to provide a comprehensive and reliable analysis of genetic variants.,"Integration of multiple variant calling tools, Efficient and accurate genomic variant calling, Analysis of genetic variants from gene panel data","genomic variant calling, gene panel data",Tools,Bioinformatics,Biological Sciences,,,,,
tclap,faster,"TCLAP is a small, flexible library that provides a simple interface for defining and accessing command line arguments. It is a mature, stable, lightweight, and efficient library for parsing command line arguments in C++ programs.","Simple and straightforward API for defining and parsing command line arguments, Support for short and long argument formats, Ability to easily define arguments with various data types, Automatic generation of help and usage information, Cross-platform compatibility","Command Line Arguments, Parsing, C++, Library",,,Engineering and Technology,,,,,
ngc,anvil,"NGC is a cloud-based hub that provides users with a comprehensive catalog of GPU-optimized software for deep learning, machine learning, and HPC applications. It offers a platform for easy deployment and integration of GPU-accelerated applications in various domains.","NGC offers a wide range of GPU-accelerated containers and models for deep learning frameworks such as TensorFlow, PyTorch, and MXNet. It simplifies the setup and configuration of complex software environments by providing pre-configured containers with optimized performance for NVIDIA GPUs. Users can quickly deploy and scale applications in the cloud or on-premises.","cloud computing, deep learning, machine learning, HPC",Platform,Scientific computing,Computer and Information Sciences,,,,,
py-cycler,expanse,Py-cycler is a Python library that provides tools for creating and manipulating cycle objects. It allows users to easily cycle through a sequence of elements and perform various operations on cycles.,"1. Creation of cycle objects
2. Iterating through cycles
3. Selecting elements from cycles
4. Manipulating and transforming cycle objects
5. Combining multiple cycles","Python Library, Cycle Operations, Data Manipulation",Library,Data Processing and Manipulation,Computer and Information Sciences,,,,,
metilene,anvil,"Metilene is a software tool for the analysis of whole-genome bisulfite sequencing data, primarily focusing on the identification of differentially methylated regions (DMRs) between biological samples.","1. Identification of differentially methylated regions (DMRs) based on whole-genome bisulfite sequencing data. 
2. Detection of statistically significant changes in DNA methylation patterns between samples. 
3. Visualization of methylation levels and differential methylation patterns. 
4. Integration of genomic annotation data to provide biological context for identified DMRs.","Bioinformatics, Epigenetics, DNA Methylation, Genomics, Bisulfite Sequencing",Bioinformatics Tool,Analysis Tool,Biological Sciences,Epigenetics,Genetics,,,
hap.py,anvil,"hap.py is a toolkit for assessing the accuracy of variants (SNPs, indels, and block substitutions) detected by various sequencing technologies, including data from whole-genome sequencing, whole-exome sequencing, and targeted gene panels.","It provides a variety of metrics for evaluating variant calls, such as precision, recall, F1 score, sensitivity, specificity, and more. It supports VCF and BED files as input and generates detailed reports to aid in interpreting the accuracy of variant calls.","variant calling, sequencing, genomics",Bioinformatics tool,Computational tool,Biological Sciences,,,,,
libvorbis,"aces, faster",Libvorbis is a free and open-source software library for encoding and decoding audio data compressed with the Vorbis audio codec. It is part of the Xiph.org Foundation's Ogg project and is used for high-quality audio compression.,"Encoding and decoding audio data, Support for the Vorbis audio codec, High-quality audio compression","audio codec, compression, open-source",Audio Processing,Library,Engineering and Technology,,,https://gitlab.xiph.org/xiph/vorbis,https://xiph.org/vorbis/doc/libvorbis/reference.html,"https://xiph.org/vorbis/doc/libvorbis/overview.html , https://gitlab.xiph.org/xiph/vorbis/-/tree/master/examples "
gangstr,anvil,"GangSTR is a tool for profiling short tandem repeats (STRs) from high-throughput sequencing data. It is specifically designed for examining STR variation in whole-genome sequencing data and is optimized for population-scale studies, allowing for accurate STR genotyping and discovery.","1. Genotyping and discovery of short tandem repeats (STRs) from sequencing data
2. Optimized for whole-genome sequencing data
3. Designed for population-scale studies
4. Accurate detection of STR variation","STR, Genotyping, Short Tandem Repeats, Sequencing Data Analysis",Genomic Analysis Tool,Bioinformatics Tool,Biological Sciences,Population Genetics,Genomics,,,
lifelines,aces,"Lifelines is a Python library for survival analysis, reliability, and lifetime data analysis. It provides tools for data preprocessing, estimating survival functions, hazard rates, and confidence intervals, as well as modeling, predicting, and visualizing survival data.","Survival analysis, Reliability analysis, Lifetime data analysis, Data preprocessing, Survival function estimation, Hazard rate estimation, Confidence interval estimation, Modeling and prediction of survival data, Visualization tools","Python Library, Survival Analysis, Lifetime Data Analysis, Reliability Analysis, Data Visualization",Python Library,Data Analysis,Statistics and Probability,,,https://github.com/CamDavidsonPilon/lifelines,https://lifelines.readthedocs.io/en/stable/,"https://lifelines.readthedocs.io/en/stable/ , https://lifelines.readthedocs.io/en/stable/Examples.html , https://github.com/CamDavidsonPilon/lifelines/tree/master/examples "
signalp6,anvil,"SignalP 6.0 predicts the presence and location of signal peptide cleavage sites in amino acid sequences from different organisms such as Gram-positive bacteria, Gram-negative bacteria, archae, eukaryotes, and viruses. It contains several algorithms for discriminating signal peptides from transmembrane regions.","Predicts signal peptide cleavage sites in amino acid sequences, Differentiates signal peptides from transmembrane regions, Available for various organisms including bacteria, archae, eukaryotes, and viruses","bioinformatics, computational biology, protein analysis, bioinformatics tools",Bioinformatics Tool,Prediction Tool,Biological Sciences,Protein Structure and Function,Molecular Biology,,,
perl-bundle-cpan,"aces, faster",Perl Bundle CPAN is a collection of Perl modules available on CPAN (Comprehensive Perl Archive Network). It provides a convenient way to install a set of related Perl modules together.,"1. Collection of Perl modules from CPAN
2. Simplifies installation of related Perl modules
3. Enables easy management of dependencies
4. Facilitates rapid development of Perl applications","Perl, CPAN, module management",Software,Library,Computer and Information Sciences,,,,,
meraculous,anvil,Meraculous is a whole-genome shotgun assembler specifically designed for large and complex genomes. It aims to accurately reconstruct the genome structure and gene content using high-throughput sequencing data.,"Specifically optimized for large and complex genomes, Utilizes high-throughput sequencing data for genome assembly, Focuses on accurate reconstruction of genome structure and gene content","Genome Assembly, Bioinformatics",Computational Biology/Genomics Tool,Genome Assembler,Biological Sciences,,,,,
r-ggplot2,expanse,ggplot2 is a data visualization package for the statistical programming language R. It provides a powerful and flexible system for creating elegant and complex plots.,"1. Grammar of graphics
2. Flexible and customizable plots
3. Support for various plot types (scatter plots, bar charts, box plots, etc.)
4. Theme customization
5. Faceting for creating multiple plots based on categories
6. Easy to use and intuitive syntax","data visualization, statistical programming, graphics, plotting",Library,Data Visualization,Statistics and Probability,,,,,
slepc,"aces, expanse, faster",SLEPc (Scalable Library for Eigenvalue Problem Computations) is a software library for the solution of large scale sparse eigenvalue problems.,"SLEPc provides efficient and scalable routines for computing eigensolutions of linear eigenvalue problems, including standard and generalized eigenvalue problems. It offers a wide range of algorithms and options for customization and parallelization.","eigenvalue problems, sparse matrices, parallel computing",Numerical Computing,Library,Other Mathematics,,,https://slepc.upv.es/,https://slepc.upv.es/documentation/,"https://slepc.upv.es/documentation/slepc.pdf , https://slepc.upv.es/documentation/#video-tutorials , https://slepc.upv.es/handson/ "
yaxt,faster,YAXT (Yet Another XTabulator) is a Python library for creating publication-ready quantitative tables with an emphasis on simplicity and customization. It provides a straightforward interface for generating tables directly from pandas DataFrames.,"1. Creation of publication-ready quantitative tables
2. Customization options for table formatting
3. Direct integration with pandas DataFrames
4. Support for adding metadata to tables
5. Ability to export tables in various formats","Python Library, Data Analysis, Table Generation",Library,Data Analysis,Computer and Information Sciences,,,,,
defaultmodules,expanse,"Default modules are predefined software packages or libraries that are included with the installation of a particular software, compiler, or programming environment. These modules typically consist of commonly used tools or libraries that are essential for various tasks within the software ecosystem.","Predefined software packages or libraries included with software installations, Essential tools for various tasks within the software ecosystem","Software Libraries, Software Packages, Default Modules",Libraries/Modules,Development Tools,Other,Not Applicable,Not Applicable,,,
muparser,delta,muparser is a fast mathematical expression parser library written in C++.,"muparser allows users to easily parse and evaluate mathematical expressions involving variables, functions, and operators. It supports a wide range of mathematical functions, custom-defined functions, and user-defined operators. muparser provides high performance and efficiency in parsing mathematical expressions.","mathematical expression parser, math library, C++ library",Mathematical Expression Parser,Library,Other Mathematics,,,,,
ragout,anvil,Ragout is a reference-assisted assembly tool that reconstructs a set of genomic sequences using a reference genome and a set of related genomes.,"Reference-assisted genome assembly, Reconstruction of genomic sequences, Utilizes a reference genome and related genomes","genome assembly, genomic analysis, bioinformatics",Tool,Genome Assembly,Biological Sciences,Genetics,Biological Sciences,,,
gettext,"aces, bridges, faster, kyric","GNU gettext is a package providing a framework for internationalization and localization of software. It includes tools for extracting translatable strings from source code, for generating message catalogs (pot files), and for translating the strings into different languages.","Internationalization (i18n), Localization (l10n), Extracting translatable strings, Generating message catalogs, Translating strings","Internationalization, Localization, Software Development",Localization Tool,Compilers,Computer and Information Sciences,,,https://www.gnu.org/software/gettext/,https://www.gnu.org/software/gettext/manual/,https://www.labri.fr/perso/fleury/posts/programming/a-quick-gettext-tutorial.html
platypus,"anvil, faster","Platypus is a highly flexible variant detection and visualization software for short-read sequencing. It is particularly designed for calling single nucleotide variants (SNVs), small insertions and deletions (indels), and larger deletions from mapped short-read data.","Platypus offers high sensitivity and specificity in variant calling, supports positional quality scores, supports multi-sample calling, integrates with SAM/BAM and VCF formats, enables rapid analysis of genetic variations, and provides visualization tools for analyzing variants.","variant detection, sequencing, bioinformatics",Variant Detection Tool,Bioinformatics Tool,Biological Sciences,Genomics,Genetics,,,
opensees,stampede3,"OpenSees is an open-source software framework developed for simulating the seismic response of structural and geotechnical systems. It is widely used in civil engineering for earthquake engineering research, structural analysis, and performance-based design.","1. Finite element analysis of structural and geotechnical systems
2. Advanced material models for concrete, steel, soil, and other materials
3. Real-time simulation and hybrid simulation capabilities
4. Parallel processing for efficient analysis of large-scale models
5. Extensive library of pre-built examples and documentation","simulation, finite element analysis, earthquake engineering, structural analysis, geotechnical engineering",Finite Element Analysis (FEA),Simulation Software,Engineering and Technology,"Seismic Response, Structural Analysis",Civil Engineering,https://opensees.berkeley.edu/,https://opensees.berkeley.edu/wiki/index.php/OpenSees_User,"https://opensees.berkeley.edu/wiki/index.php?title=Getting_Started , https://opensees.berkeley.edu/wiki/index.php?title=Examples "
basenji,anvil,"Basenji is a deep learning framework for regulatory genomics that leverages convolutional neural networks (CNNs) to predict transcriptional regulation by learning the patterns of chromatin accessibility, histone modification, and transcription factor binding.","Utilizes convolutional neural networks (CNNs) for regulatory genomics, Predicts transcriptional regulation by learning patterns of chromatin accessibility, histone modification, and transcription factor binding, Performs genome sequence segmentation and regulatory element prediction","deep learning, regulatory genomics, transcriptional regulation",Genomics tool,Deep Learning Framework,Biological Sciences,Regulatory Genomics,Genomics,,,
intel-ipp-intel64,bridges,"The Intel Integrated Performance Primitives (Intel IPP) is a library of functions for multimedia, data processing, and communication applications which are developed to enable developers to deliver more reliable, scalable, and efficient applications.","Optimized functions for multimedia, data processing, and communication applications, Support for various data types and platforms including Intel 64 architecture, Parallel processing capabilities for improved performance, Integration with popular development environments and compilers","Software Library, Multimedia Processing, Data Processing, Communication Applications",Optimization Library,Library,Computer and Information Sciences,,,,,
x11,"aces, faster","X11 is a windowing system for bitmap displays, common on Unix-like operating systems and desktop environments. It provides the basic framework for building GUI applications on these systems, handling graphical elements such as windows, menus, and user input.","1. Window management
2. Graphics rendering
3. User input handling
4. Networking support for remote display
5. Extensible through various extensions and toolkits","windowing system, GUI applications, Unix-like operating systems",System Software,Windowing System,Computer and Information Sciences,,,https://www.x.org/wiki/,https://www.x.org/releases/current/doc/,"https://www.x.org/wiki/guide/ , http://mech.math.msu.su/~vvb/2course/Borisenko/CppProjects/GWindow/xintro.html , https://www.linuxjournal.com/article/4879 "
totalview,anvil,"TotalView is a comprehensive parallel debugging and performance analysis solution. It provides developers with advanced tools to effectively find and fix bugs, optimize code, and improve application performance for HPC, big data, and machine learning applications.","Parallel debugging tools, Performance analysis capabilities, Support for HPC, big data, and machine learning applications, Code optimization features","debugging, performance analysis, HPC, big data, machine learning",Development and Optimization Tools,Debugging and Performance Analysis,Engineering and Technology,Performance Evaluation and Benchmarking,Infrastructure and Instrumentation,https://totalview.io/products/totalview,https://help.totalview.io/current/HTML/,"https://help.totalview.io/current/HTML/#page/TotalView/GettingStarted.html , https://totalview.io/support/video-tutorials , https://help.totalview.io/current/PDFs/TotalView_Cheat_Sheet.pdf "
nvcomp,faster,nvcomp is a CUDA library providing GPU-accelerated compression and decompression algorithms. It aims to provide fast and efficient data compression techniques for GPU computing.,"1. GPU-accelerated compression and decompression algorithms.
2. Support for multiple compression formats such as LZ4, Zstandard, and Snappy.
3. Optimized for NVIDIA GPUs to leverage parallel processing power.
4. High performance and low latency compression and decompression.","compression, GPU-accelerated, CUDA, data processing",Compression,Library,Computer and Information Sciences,Applied Computer Science,Computer Science,,,
inspector,kyric,Inspector is a software tool used for monitoring and analyzing various aspects of computer systems and networks to detect and prevent security breaches or performance issues.,"Key features include real-time monitoring of network traffic, system performance metrics, and security events. It provides alerts for suspicious activities, generates reports for analysis, and allows for proactive response to potential threats.","monitoring, security, network analysis",Security Software,Monitoring Tool,Computer and Information Sciences,"Software Engineering, Systems, and Development",Computer Science,https://www.intel.com/content/www/us/en/developer/tools/oneapi/inspector.html#gs.52c03e,https://www.intel.com/content/www/us/en/docs/inspector/user-guide-linux/2024-1/overview.html,"https://www.intel.com/content/www/us/en/docs/inspector/get-started-guide/2024-1/linux.html , https://www.intel.com/content/www/us/en/developer/articles/training/inspector-tutorials.html "
perftools-lite,delta,Perftools lite is a set of performance analysis tools designed for lightweight profiling and tracing of applications. It provides insights into the performance of software applications to help optimize and improve efficiency.,"Perftools-lite offers functionalities such as profiling, tracing, performance analysis, and visualization tools. It includes features like CPU and memory profiling, function-level profiling, heap profiling, thread profiling, real-time tracing, and performance visualization.","performance analysis, profiling, tracing",Software Tool,Performance Analysis Tool,Computer and Information Sciences,"Software Engineering, Systems, and Development",Computer Science,,,
cuda-dcgm,expanse,"NVIDIA's Data Center GPU Manager (DCGM) is a suite of tools for managing and monitoring GPU devices in data center environments. It provides real-time monitoring, troubleshooting, and diagnostics capabilities.","Real-time monitoring of GPU performance metrics, Alerting and notification of hardware errors and failures, Policy-based power and temperature management, Historical data collection for analysis and reporting","GPU Management, Monitoring, Diagnostics, Data Center, NVIDIA",Monitoring Tool,Device Management,Computer and Information Sciences,,,,,
qe,stampede3,"Quantum ESPRESSO is an integrated suite of computer codes for electronic-structure calculations and materials modeling based on density-functional theory, plane waves, and pseudopotentials. It is designed for high-performance computing architectures and allows for ab-initio electronic structure calculations.","The software package includes tools for performing ground-state calculations, structural optimization, molecular dynamics simulations, and spectral properties calculations. It also offers interfaces to other software packages for post-processing and data analysis.","quantum chemistry, materials science, computational physics",electronic-structure calculation,computational software,Physical Sciences,,,https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,"https://www.quantum-espresso.org/tutorials/ , https://www.quantum-espresso.org/Doc/user_guide/node15.html "
r-txdb-hsapiens-ucsc-hg19-knowngene,expanse,"The r-txdb-hsapiens-ucsc-hg19-knowngene is a dataset for R that contains known gene annotation information for the human genome assembly GRCh37/hg19. It includes details such as gene names, gene IDs, chromosome locations, exon positions, and transcript IDs.","Comprehensive gene annotation information, Highly detailed data on gene names, locations, exons, and transcripts, Designed for use with R programming language","Genomics, Bioinformatics, Data Analysis, R Package",Dataset,Data Management/Annotation,Biological Sciences,Bioinformatics,Genomics,,,
parafly,anvil,"Parafly is a Python library for parallelizing and distributing task execution across multiple cores or nodes, aimed at improving computational efficiency for high-performance computing applications.","1. Task parallelization and distribution
2. Multi-core processing support
3. Scalability for distributed computing
4. Integration with Python ecosystem
5. Resource management and allocation","parallelization, distributed computing, Python library",Python Library,Parallelization and Distributed Computing,Computer and Information Sciences,,,https://parafly.sourceforge.net/,https://github.com/ParaFly/ParaFly,https://parafly.sourceforge.net/
ivar,anvil,"Ivar is an open-source lightweight templating engine for Python, focused on simplicity and ease of use.","Ivar allows for easy template creation and usage, supports simple placeholders for data replacement, and offers basic control structures like conditionals and loops.","Python library, Templating engine, Open-source",Library,Development,Computer and Information Sciences,,,,,
php,faster,PHP is a popular general-purpose scripting language that is especially suited to web development. It is a server-side scripting language embedded in HTML.,"PHP code is usually processed on a web server by a PHP interpreter implemented as a module, a daemon process, or as a Common Gateway Interface (CGI) executable. On a web server, the result of the interpreted and executed PHP code — which may be any type of data, such as generated HTML or binary image data — would form the whole or part of an HTTP response. Various web template systems, web content management systems, and web frameworks exist which can be employed to orchestrate or facilitate the generation of that response and PHP code.","programming language, web development",scripting language,programming language,Computer and Information Sciences,,,,,
xerces-c++,"aces, faster","Xerces-C++ is a validating XML parser written in C++ and released by the Apache Software Foundation. It is a high-performance, feature-rich parser that is widely used for parsing and processing XML documents in a variety of applications.","Validating XML parser, Supports XML Schema, SAX and DOM parsers, Unicode support, High performance, Portable across various platforms","XML Parser, Data Processing, Software Development",Parser,,Computer and Information Sciences,,,https://xerces.apache.org/xerces-c/,https://xerces.apache.org/xerces-c/program-3.html,"https://xerces.apache.org/xerces-c/program-others-3.html , https://xerces.apache.org/xerces-c/samples-3.html , https://xerces.apache.org/xerces-c/faqs-3.html "
dimemas,kyric,DIMemas is a software tool for the automatic performance prediction of parallel applications. It utilizes simulation techniques to estimate the performance of parallel applications on large-scale systems.,"Automatic performance prediction, Simulation techniques, Estimation of parallel application performance on large-scale systems","performance prediction, parallel applications, simulation, large-scale systems",Performance prediction tool,Simulation tool,Engineering and Technology,,,https://tools.bsc.es/dimemas,https://github.com/bsc-performance-tools/dimemas/blob/master/cfgs/ideal.cfg,"https://tools.bsc.es/doc/introduction_dimemas.pdf , https://tools.bsc.es/sites/default/files/documentation/slides/Dimemas-Hands-On.pdf "
r_tamu,"aces, faster",r_tamu is a simulation software for thermal and mechanical unit operations in chemical engineering.,"It allows for the simulation of various heat exchangers, reactors, separators, and other unit operations commonly encountered in chemical processes. Users can input specific parameters and design criteria to simulate and analyze the performance of these unit operations.","simulation software, chemical engineering, thermal unit operations, mechanical unit operations",Engineering and Technology,Simulation Software,Engineering and Technology,Thermal and Mechanical Unit Operations,Chemical Engineering,https://hprc.tamu.edu/kb/Software/R/#r_tamu,https://hprc.tamu.edu/kb/Software/R-tamu/,https://hprc.tamu.edu/kb/Software/R-tamu/#example
sanitizers4hpc,delta,sanitizers4hpc is a toolset designed for detecting and removing memory errors and data races in high-performance computing (HPC) applications. It offers various sanitizers to enhance the reliability and performance of parallel programs.,"1. Detection of memory errors such as buffer overflows, memory leaks, and uninitialized memory access.
2. Identification of data races to ensure thread safety and consistency in parallel applications.
3. Improved debugging capabilities for HPC codes to boost overall program stability and efficiency.","memory errors, data races, HPC applications",Tool,Debugging and Profiling,Engineering and Technology,"Software Engineering, Systems, and Development",Computer Science,,,
hipify-clang,faster,"hipify-clang is a tool that translates CUDA code to HIP (Heterogeneous-Compute Interface for Portability) code, enabling the porting of CUDA applications to AMD GPUs.","1. Translates CUDA source code to HIP source code.
2. Facilitates the migration of CUDA applications to AMD GPUs.
3. Helps in leveraging the performance of AMD GPUs for existing CUDA projects.","CUDA, HIP, GPU computing, code translation",Code Translation Tool,Compiler,Computer and Information Sciences,,,,,
pasta,anvil,PASTA (Practical Alignment using SATé and TrAnsitivity) is a multiple sequence alignment program that uses a divide-and-conquer strategy to improve the scalability and accuracy of alignment.,"PASTA incorporates the SATé (SATé-I and SATé-II) algorithm and transitivity to align sequences by breaking the alignment problem into smaller subproblems, which are then joined together to build the final alignment. It allows for the alignment of large datasets and can handle a wide range of sequence types.","bioinformatics, computational biology, sequence alignment",Bioinformatics Tool,Sequence Alignment,Biological Sciences,Computational Biology,Bioinformatics,,,
pilon,"anvil, bridges, faster","Pilon is a software package that automates the improvement of draft assemblies of microbial genomes, using information from multiple sources to correct draft assemblies.","Error correction in draft assemblies, Utilizes multiple sources of information (e.g. read mapping, alignments, and a reference genome), Automatic implementation of corrections, Support for various file formats such as SAM/BAM, VCF, and FASTA","Genome Assembly, Genomics, Bioinformatics, Computational Biology",Tool,Genome Assembly Correction,Biological Sciences,Genome Assembly,Genomics,,,
nbo,expanse,"Natural Bond Orbital (NBO) analysis is a popular method for understanding chemical bonding in molecules. It provides insight into the nature of chemical bonds, bond strengths, and electron delocalization.","Provides quantitative analysis of molecular electronic structure based on Natural Bond Orbitals, facilitates interpretation of molecular properties, aids in understanding chemical reactivity and stability, supports visualization of electron density distributions, allows for analysis of intermolecular interactions.","Chemistry, Molecular Biology, Computational Chemistry",Molecular Modeling,Computational software,Chemical Sciences,Organic Chemistry,Physical Chemistry,,,
libcerf,"aces, faster","libcerf is a C library that provides efficient and accurate implementations of complex error functions, along with Dawson, Fresnel, and Voigt functions. The library is designed to facilitate the computation of complex error functions for a wide range of applications in scientific computing.","Efficient and accurate implementations of complex error functions, Support for Dawson, Fresnel, and Voigt functions, Optimized for scientific computing applications","error functions, scientific computing, C library",Library,Computational software,Mathematics,,,https://jugit.fz-juelich.de/mlz/libcerf,https://jugit.fz-juelich.de/mlz/libcerf/-/tree/main/man,https://jugit.fz-juelich.de/mlz/libcerf/-/tree/main/test
mumps,"aces, expanse, faster",MUMPS (MUltifrontal Massively Parallel sparse direct Solver) is a software package for the parallel solution of large sparse systems of linear equations arising from computational science and engineering applications.,"1. Direct solver for large sparse linear systems.
2. Parallel processing for efficient computation.
3. Scalable for high-performance computing environments.
4. Suitable for a wide range of scientific and engineering applications.
5. Compatible with various platforms and architectures.","linear algebra, sparse matrices, computational science, engineering",Solver,Numerical Software,Mathematics,Numerical Analysis,Applied Mathematics,https://mumps-solver.org/index.php,https://mumps-solver.org/doc/userguide_5.6.2.pdf,"https://mumps-solver.org/index.php?page=faq , https://people.math.sc.edu/Burkardt/examples/mumps/dsimpletest.F"
banner,delta,"Banner is a comprehensive administrative software solution designed for higher education institutions to manage student information, academic records, financial aid, human resources, and other key administrative functions.","Banner offers modules for student registration, course management, academic advising, billing and payments, financial aid processing, human resources management, reporting and analytics, and more. It provides integration with various systems to streamline administrative processes.","administrative software, higher education, student information system, academic records, financial aid management, human resources management",Commercial,Administrative Software,Social Sciences,,,https://www.ibm.com/docs/en/aix/7.3?topic=b-banner-command,https://linuxcommandlibrary.com/man/banner,
tpmcalculator,anvil,"TPMCalculator is a computational tool that enables the quantification of gene expression levels from RNA-Seq data based on the transcripts per million (TPM) method. TPM calculations normalize read counts by the length of the transcripts and the total number of mapped reads, providing a more accurate representation of gene expression levels.","Quantification of gene expression levels from RNA-Seq data, Uses transcripts per million (TPM) method for normalization, Accurate representation of gene expression levels","Bioinformatics, Computational Biology, RNA-Seq, Transcriptomics",Bioinformatics,Computational Tool,Biological Sciences,,,,,
